Implementation,GridSize,BlockSize,UseIfs,Time Ms
Secuencial,128,0,false,0.610197
CUDA,128,16,false,1.08148
CUDA,128,16,true,0.135427
CUDA,128,32,false,0.144374
CUDA,128,32,true,0.131287
CUDA,128,64,false,0.168678
CUDA,128,64,true,0.136633
CUDA,128,17,false,0.124174
CUDA,128,17,true,0.13303
CUDA,128,24,false,0.128421
CUDA,128,24,true,0.162617
Secuencial,256,0,false,2.49629
CUDA,256,16,false,0.266406
CUDA,256,16,true,0.24481
CUDA,256,32,false,0.353157
CUDA,256,32,true,0.278043
CUDA,256,64,false,0.216617
CUDA,256,64,true,0.29732
CUDA,256,17,false,0.2502
CUDA,256,17,true,0.220908
CUDA,256,24,false,0.265018
CUDA,256,24,true,0.360439
Secuencial,512,0,false,9.2482
CUDA,512,16,false,0.719805
CUDA,512,16,true,0.704886
CUDA,512,32,false,0.910604
CUDA,512,32,true,0.882028
CUDA,512,64,false,0.708541
CUDA,512,64,true,0.695991
CUDA,512,17,false,0.677028
CUDA,512,17,true,0.863804
CUDA,512,24,false,0.691001
CUDA,512,24,true,0.809917
Secuencial,1024,0,false,36.0553
CUDA,1024,16,false,1.71231
CUDA,1024,16,true,1.86898
CUDA,1024,32,false,2.07218
CUDA,1024,32,true,1.87873
CUDA,1024,64,false,1.89235
CUDA,1024,64,true,2.04086
CUDA,1024,17,false,2.03943
CUDA,1024,17,true,1.88243
CUDA,1024,24,false,2.0538
CUDA,1024,24,true,1.96391
